,index,activity,location,sex,year,injury,case_number,time,age,type,area,country,fatal_y_n,species,index_original
497,536,Diving,Boca Chica,M,2010,FATAL,2010.11.27,Morning,21,Unprovoked,,DOMINICAN REPUBLIC,Y,unknown,536
498,537,Swimming /  Whale Watching,,M,2010,Puncture wounds to right foot,2010.09.13,Morning,24,Unprovoked,Ha'api,TONGA,N,unknown,537
499,538,Standing,"Micklers Landing, St. Johns County",F,2010,Lacerations to forearm,2010.08.05,Morning,37,Unprovoked,Florida,USA,N,unknown,538
500,539,Wading,"Lori Wilson Park, Cocoa Beach, Brevard County",M,2009,Left foot bitten,2009.12.06,Morning,10,Unprovoked,Florida,USA,N,unknown,539
501,540,Swimming,Sant Salvador,F,2009,Laceration to left foot,2009.07.24.R,Morning,11,Invalid,Catalunya,SPAIN,U,unknown,540
502,541,Fishing,Darwin,M,2008,Right leg injured by hook and hooked shark PROVOKED INCIDENT,2008.10.22,Unknown,50,Provoked,Northern Territory,AUSTRALIA,N,reef,541
503,542,Wading,"Topsail Island, Pender County",F,2008,Lacerations to dorsum of right foot,2008.07.25.a,Unknown,8,Unprovoked,North Carolina,USA,N,unknown,542
504,543,Surfing,"New Smyrna Beach, Volusia County",M,2008,Foot bitten after he stepped on the shark PROVOKED INCIDENT,2008.07.24.b,Unknown,15,Provoked,Florida,USA,N,unknown,543
505,544,Body surfing,Cherry Grove,F,2008,Foot bitten,2008.06.07,Evening,15,Unprovoked,South Carolina,USA,N,unknown,544
506,546,Spearfishing,,M,2008,Left forearm bitten,2008.04.17,Unknown,,Unprovoked,,FIJI,N,unknown,546
507,547,Snorkeling,"Lauderdale-by-the-Sea, Broward County",M,2007,"Minor injury, shark latched onto his abdomen",2007.09.16.b,Unknown,14,Unprovoked,Florida,USA,N,nurse,547
508,549,Reviving a sedated shark,"Virginia Aquarium & Marine Science Center, Virginia Beach",F,2007,Left shin bitten by captive shark PROVOKED INCIDENT,2007.06.05,Morning,40,Provoked,Virginia,USA,N,blacktip,549
509,550,Surfing,"Pennington Bay, Kangaroo Island",M,2006,"No injury, shark towed  surfer & board",2006.09.02,Unknown,,Unprovoked,South Australia,AUSTRALIA,N,bronze whaler,550
510,551,Surf fishing,"Sargent Beach, Matagorda County",M,2006,Right foot bitten,2006.07.28,Unknown,,Unprovoked,Texas,USA,N,bull,551
511,552,Wading,"New Smyrna Beach, Volusia County",M,2006,Dorsum of left foot bitten,2006.07.12,Unknown,40,Unprovoked,Florida,USA,N,unknown,552
512,553,Swimming,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",M,2005,Foot bitten,2005.06.21,Unknown,20,Unprovoked,Florida,USA,N,unknown,553
513,554,Wading,"Mustang Island, Corpus Christi",M,2005,Two 2-inch lacerations on right foot,2005.06.05,Morning,6,Unprovoked,Texas,USA,N,unknown,554
514,555,,Crookhaven,,2005,Shark-bitten surfboard found adrift,2005.05.02,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,555
515,556,Surfing,"Bunkers, Humboldt Bay, Eureka, Humboldt County",lli,2004,"Lacerations to hand, knee & thigh",2004.11.26,Unknown,38.0,Unprovoked,California,USA,N,unknown,556
516,557,Jumping,"North of Apache Pier, Myrtle Beach, Horry County",F,2004,Left knee & leg bitten,2004.09.10,Unknown,17.0,Unprovoked,South Carolina,USA,N,unknown,557
517,558,Wading,"Gulf Shores Beach, Baldwin County",M,2004,Right foot lacerated,2004.07.10,Unknown,7.0,Unprovoked,Alabama,USA,N,unknown,558
518,559,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,30 nautical miles offshore,M,2004,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",2004.04.26,Unknown,,Unprovoked,Nuku'alofa,TONGA,Y,unknown,559
519,560,Snorkeling,Honolua Bay,M,2003,Left forearm lacerated,2003.10.31.a,Unknown,56.0,Invalid,Hawaii,USA,U,unknown,560
520,561,Spearfishing,Bakers Bay,M,2003,Right thigh bitten,2003.07.20,Unknown,58.0,Unprovoked,Abaco Islands,BAHAMAS,N,unknown,561
521,562,Surfing,"New Smyrna Beach, Volusia County",M,2003,Right foot & toes lacerated,2003.07.00.b,Unknown,17.0,Unprovoked,Florida,USA,N,unknown,562
522,563,Swimming,Swimming with humpback whales,M,2002,Thigh lacerated  PROVOKED INCIDENT,2002.09.27.c,Unknown,,Provoked,Vava'u,TONGA,N,tiger,563
523,564,Snorkeling,"Deerfield Beach (near Boca Raton), Broward County",M,2002,Arm bitten,2002.03.24,Morning,39.0,Unprovoked,Florida,USA,N,nurse,564
524,565,Diving for sea urchins,Bay of Fundy,M,2000,No injury,2000.12.12,Unknown,30.0,Unprovoked,New Brunswick,CANADA,N,porbeagle,565
525,566,Shipwrecked,Ceduna,M,2000,"Missing, thought to have been taken by a shark",2000.12.00,Unknown,47.0,Invalid,South Australia,AUSTRALIA,U,unknown,566
526,567,Swimming,"Cottesloe Beach, Perth",M,2000,Leg & feet lacerated,2000.11.18,Morning,52.0,Unprovoked,Western Australia,AUSTRALIA,N,unknown,567
527,568,Swimming / snorkeling,Olowalu,F,2000,Right side of back / torso lacerated,2000.10.29,Morning,56.0,Unprovoked,Hawaii,USA,N,tiger,568
528,569,Surfing,"New Smyrna Beach, Volusia County",M,2000,Fingers lacerated,2000.10.14,Unknown,23.0,Unprovoked,Florida,USA,N,blacktip,569
529,570,Swimming,"Vero Beach, Indian River County",M,2000,Minor injury to arm and hand,2000.09.12,Evening,8,Unprovoked,Florida,USA,N,unknown,570
530,571,Surfing,Pic du Diable,M,2000,Left arm bitten,2000.09.08.c,Evening,27.0,Unprovoked,Saint-Pierre,REUNION,N,tiger,571
531,572,Surfing,"Nahoon, East London",M,2000,Hand lacerated,2000.07.17,Unknown,15.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,572
532,573,Swimming,"Coco Beach, Dar-es-Salaam",,2000,FATAL,2000.07.02.b,Unknown,,Unprovoked,,TANZANIA,Y,zambesi,573
533,574,Standing,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",M,2000,Left leg & ankle bitten,2000.05.13,Unknown,9.0,Unprovoked,Madang Province,PAPUA NEW GUINEA,N,unknown,574
534,575,Fishing for tarpon,"Boca Grande, Lee County",M,2000,No injury to occupant; shark bit propeller,2000.01.28.R,Unknown,,Watercraft,Florida,USA,N,hammerhead,575
535,576,Fishing for tuna,460 miles off Iwakuni,M,1998,PROVOKED INCIDENT    Knee bitten by shark trapped in net,1998.11.11,Unknown,52,Provoked,Southern Japan,JAPAN,N,unknown,576
536,577,Boogie boarding,"Stinson Beach, Marin County",M,1998,"Thigh, buttocks & lower back lacerated",1998.08.30,Unknown,16.0,Unprovoked,California,USA,N,unknown,577
537,578,Surf-skiing,"Cottesloe Beach, Perth",M,1997,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",1997.11.05.R,Unknown,51.0,Unprovoked,Western Australia,AUSTRALIA,N,unknown,578
538,579,Surfing,"Cocoa Beach, Brevard County",M,1996,4 laceration on left forearm,1996.10.09,Morning,21.0,Unprovoked,Florida,USA,N,unknown,579
539,580,Swimming,Mona Vale,M,1996,Puncture wounds on upper left thigh,1996.05.07,Unknown,11,Unprovoked,New South Wales,AUSTRALIA,N,wobbegong,580
540,581,Surfing,Paiva,M,1994,Right thigh bitten,1994.12.18,Unknown,,Unprovoked,Pernambuco,BRAZIL,N,unknown,581
541,582,Surfing,Waipo,M,1993,FATAL,1994.00.00.b,Unknown,,Unprovoked,Hawaii,USA,Y,tiger,582
542,583,Surfing,"Mouth of Wallua River, Kaua'i",,1993,Serious leg wounds,1993.10.26,Unknown,,Unprovoked,Hawaii,USA,N,tiger,583
543,584,Free diving for abalone (ascending),"Abalone Point, Westport Union Landing, Mendocino County",M,1993,Severe bites to head & shoulder,1993.08.15.a,Unknown,39.0,Unprovoked,California,USA,N,unknown,584
544,585,,Off Dominican Republic,M,1993,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",1993.01.23,Unknown,32 & 30,Watercraft,,CARIBBEAN SEA,N,unknown,585
545,586,Preparing to fish for jack-mackerel,"1.5 km north of Igata-cho, 60 km south of Matsyama",,1992,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat",1992.06.28.a,Unknown,,Watercraft,Ehime Prefecture,JAPAN,N,unknown,586
546,587,Fishing,Mahebourg,M,1992,Survived,1992.01.23,Unknown,,Unprovoked,,MAURITIUS,N,reef,587
547,588,Swimming from makeshift raft  to life vest after fishing boat sank,150 miles from Crystal River,M,1991,Punctures in lower abdomen & groin,1991.07.30,Unknown,42,Unprovoked,Florida,USA,N,blacktip,588
548,589,Surfing (or sailboarding),Pelican Banks near Gladstone,M,1991,Survived,1991.01.19,Unknown,22,Unprovoked,Queensland,AUSTRALIA,N,unknown,589
549,590,Sitting on surfboard,"Silver (Silva) Channels, Waialua, O'ahu",M,1990,"Ankle lacerated, lower left leg severely abraded",1990.04.07,Morning,,Unprovoked,Hawaii,USA,N,unknown,590
550,591,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy","Off North Keppel Island, off Yeppoon",M,1988,FATAL,1988.12.15,Unknown,62.0,Sea Disaster,Queensland,AUSTRALIA,Y,unknown,591
551,592,Attempting to lasso shark's tail,Struisbaai,M,1988,Foot lacerated by hooked shark PROVOKED INCIDENT,1988.01.21,Morning,33,Provoked,Western Cape Province,SOUTH AFRICA,N,unknown,592
552,594,Snorkeling,Sampson Cay,M,1987,Right leg bitten,1987.07.12.a,Unknown,35,Unprovoked,Exuma Islands,BAHAMAS,N,unknown,594
553,595,Fishing,"Nest Key, Monroe County",M,1987,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,1987.07.09,Unknown,,Provoked,Florida,USA,N,blacktip,595
554,596,Surfing,Garvies Beach,M,1985,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",1986.01.12,Unknown,,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,596
555,597,,New Hanover County,M,1985,Survived,1986.00.00,Unknown,,Unprovoked,North Carolina,USA,N,tiger,597
556,598,Fishing,"Gulf Shores, Baldwin County",M,1985,Laceration to leg by hooked shark  PROVOKED INCIDENT,1985.10.18,Unknown,,Provoked,Alabama,USA,N,unknown,598
557,599,Spearfishing,"Buffels Bay, False Bay",M,1985,Minor injury to torso,1985.01.17,Morning,34.0,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,599
558,601,Steinhart Aquarium,San Francisco,M,1984,Head mouthed by captive shark PROVOKED INCIDENT,1984.01.05,Unknown,,Provoked,California,USA,N,unknown,601
559,602,Surfing,"Palm Beach, Palm Beach County",M,1982,Elbow bitten,1982.06.13,Unknown,16.0,Unprovoked,Florida,USA,N,unknown,602
560,603,Swimming,"St. Petersburg Beach, Pinellas County",F,1981,"Foot bitten between arch & big toe, no stitches required",1981.08.10.a,Unknown,16.0,Unprovoked,Florida,USA,N,sand,603
561,604,Diving,Cabo Frio,,1981,,1981.03.24,Unknown,,Unprovoked,Rio de Janeiro,BRAZIL,U,unknown,604
562,605,"Free diving / spearfishing,",,M,1981,Minor injury,1981.01.01,Unknown,,Unprovoked,Pagasitikos Gulf,GREECE,N,unknown,605
563,606,Surfing,Glenashley,M,1978,"Left leg, ankle & foot bitten",1978.02.28,Unknown,17.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,blacktip,606
564,607,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Near Moreton Island in Moreton Bay,M,1977,"His feet were bitten by sharks, but he was rescued by a charter boat that arrived on the scene just an hour and 15 minutes after the sharks first appeared, too late to save the lives of Hayes and Beaver",1977.04.21,Unknown,32,Sea Disaster,Queensland,AUSTRALIA,N,unknown,607
565,608,Fishing for white shark,Macassar,,1976,"No injury to occupants. Hooked shark bit boat's transom, PROVOKED INCIDENT",1976.11.25,Unknown,,Provoked,Western Cape Province,SOUTH AFRICA,N,unknown,608
566,609,Standing,"Daytona Beach, Volusia County",M,1974,Laceration to foot,1974.21.21,Unknown,24,Unprovoked,Florida,USA,N,unknown,609
567,610,Surfing,"North of Point Sur, Monterey County",M,1974,"Thigh, lower back and surfboard bitten",1974.12.10,Morning,17.0,Unprovoked,California,USA,N,unknown,610
568,611,Swimming,Amanzimtoti,M,1974,Knee & calf lacerated,1974.01.13,Unknown,33.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,611
569,612,Scuba diving & U/W photography,,M,1973,Hand & right shoulder lacerated,1973.01.09,Unknown,,Unprovoked,Western Caroline Islands,PALAU,N,reef,612
570,613,Spearfishing,"Stevens Reef, 70 miles from Mackay",M,1972,Right arm bitten,1972.12.08,Unknown,24,Unprovoked,Queensland,AUSTRALIA,N,unknown,613
571,614,,,M,1971,"FATAL, body not recovered",1971.04.11,Unknown,14,Unprovoked,,VENEZUELA,Y,unknown,614
572,615,,,M,1970,Extensive injuries,1970.12.07,Unknown,,Unprovoked,,,N,unknown,615
573,616,Wading,Grenville,M,1970,"FATAL, body not recovered",1970.06.15,Unknown,18,Unprovoked,St. Andrew Parish,GRENADA,Y,unknown,616
574,617,Wading,,F,1970,Lacerations to lower leg,1970.03.31,Unknown,8,Unprovoked,,,N,unknown,617
575,618,Scuba diving for lobsters,"Barber’s Point, O'ahu",M,1969,"Abrasions to upper leg, laceration to ankle, scuba tank bitten",1970.00.00.a,Unknown,,Unprovoked,Hawaii,USA,N,unknown,618
576,619,,,M,1969,Am lacerated,1969.08.02,Unknown,25,Unprovoked,,,N,unknown,619
577,620,Surfing,"Makaha, O'ahu",M,1969,Leg & surfboard bitten,1969.04.19,Evening,16,Unprovoked,Hawaii,USA,N,unknown,620
578,621,Dynamite fishing,"Makuaka Caño, Taganga",M,1968,Lacerations to head,1968.08.13,Morning,18,Unprovoked,Magdalena Department,COLUMBIA,N,unknown,621
579,622,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,Children's Bay Cay near Rollerville,M,1968,"FATAL, taken by shark",1968.07.23,Unknown,,Unprovoked,Great Exuma Island,BAHAMAS,Y,unknown,622
580,623,Fishing,"Point Comfort, Calhoun County",M,1966,Lacerations to right foot,1966.07.31,Unknown,14,Unprovoked,Texas,USA,N,unknown,623
581,624,Playing in the water,Nassau,F,1965,FATAL,1965.10.21,Unknown,,Unprovoked,New Providence Island,BAHAMAS,Y,unknown,624
582,625,Diving for sinkers,Mossel Bay,M,1964,Lacerations and puncture wounds in right arm,1964.01.04,Evening,,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,625
583,626,Standing,"Catfish Rock, between Salt Rock & Shaka’s Rock",F,1963,"Right hand & foot severed, thigh & buttock lacerated",1964.01.01.a,Unknown,20.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,zambesi,626
584,627,Washed into sea while picking opihi,"Hapuna Beach, Hawai'i",M,1963,"May have drowned prior to shark involvement, partial remains recovered",1963.04.13,Unknown,,Invalid,Hawaii,USA,U,unknown,627
585,628,Spearfishing,"Taibaisa Passage, Gau Island",M,1963,Left arm bitten,1963.02.27,Morning,28.0,Unprovoked,Lomaiviti  Island Group,FIJI,N,unknown,628
586,629,Surf fishing in waist-deep water,"Off Andy Bowie Park, Padre Island, near Port Isabel",M,1962,"FATAL, lower right leg bitten",1962.08.26,Unknown,40.0,Unprovoked,Texas,USA,Y,unknown,629
587,630,Spearfishing,"Pekinberui Village, Tabar Island",M,1962,"FATAL, right thigh severely bitten, right ankle lacerated",1962.08.19,Unknown,(adult),Unprovoked,"New Ireland Province, Bismarck Archipelago",PAPUA NEW GUINEA,Y,unknown,630
588,631,Spearfishing,"Long Reef, North Manly",,1962,Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT,1962.01.15,Unknown,,Provoked,New South Wales,AUSTRALIA,N,nurse,631
589,632,Swimming,"Opatija, northwestern coast of Rijeka Bay",M,1961,"FATAL, hand severed & legs bitten",1961.10.00.a,Unknown,19.0,Unprovoked,Primorje-Gorski Kotar County,CROATIA,Y,unknown,632
590,633,Walking in chest-deep water,"Laguna Beach, Bay County",M,1961,Middle finger of left hand & right forearm lacerated,1961.05.21,Morning,52.0,Unprovoked,Florida,USA,N,hammerhead,633
591,634,Cleaning a tank,"Fairmount Park Aquarium, Philadelphia",M,1961,Thumb lacerated by captive shark PROVOKED INCIDENT,1961.03.07,Unknown,30,Provoked,Pennsylvania,USA,N,unknown,634
592,635,Fishing,"Stokes Hill Wharf, Darwin",M,1961,Finger bitten by hooked shark PROVOKED INCIDENT,1961.01.06.c,Unknown,,Provoked,Northern Territory,AUSTRALIA,N,hammerhead,635
593,637,Swimming from camp,Parris Island,M,1960,FATAL,1960.08.04.b,Unknown,,Unprovoked,South Carolina,USA,Y,unknown,637
594,638,Spearfishing,Pigeon Island,M,1960,No injury,1960.00.00.i,Unknown,,Unprovoked,Eastern  Province,SRI LANKA,N,reef,638
595,639,Fishing,"West Nakanai,  Talasea",M,1960,Slight lacerations to leg,1960.00.00.e,Unknown,20.0,Unprovoked,West New Britain Province,PAPUA NEW GUINEA,N,unknown,639
596,640,Treading water,Port Shepstone,M,1959,Leg severed below knee,1959.02.06,Unknown,14.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,640
597,641,"Spearfishing, had fish on his spear",North of Walkers Cay,M,1958,"No injury, shark went for diver's leg & missed, diver hit shark on head with speargun & shark bit speargun",1958.07.02,Morning,36.0,Unprovoked,Abaco Islands,BAHAMAS,N,tiger,641
598,642,Fishing,Yule Island,M,1956,"Leg severed, but survived",1956.08.00.d,Unknown,,Unprovoked,Central Province,PAPUA NEW GUINEA,N,unknown,642
599,643,Fishing,Plettenberg Bay,,1956,"No injury, sharks bit propellers, etc",1956.06.22,Unknown,,Watercraft,Western Cape Province,SOUTH AFRICA,N,unknown,643
600,646,Standing in knee-deep water,,M,1955,FATAL,1955.00.00.f,Unknown,16.0,Unprovoked,18S / 50E,MADAGASCAR,Y,unknown,646
601,647,Dived overboard & was swimming near stern of trawler,Near tuna cannery in Pago Pago Harbor,M,1954,FATAL,1955.00.00.b,Unknown,27.0,Unprovoked,Tutuila Island,AMERICAN SAMOA,Y,unknown,647
602,648,Swimming,Between Punta Grossa & Koper,M,1954,FATAL,1954.07.28,Evening,,Unprovoked,Slovenia,THE BALKANS,Y,unknown,648
603,650,Swimming,"Volupai, Talasea",M,1954,Leg & abdomen lacerated,1954.00.00.c,Unknown,12.0,Unprovoked,West New Britain Province,PAPUA NEW GUINEA,N,unknown,650
604,651,Fishing for lobsters,"Fourchu, Cape Breton Island",M,1953,Burns drowned as result of attack on boat,1953.07.15,Unknown,,Watercraft,Nova Scotia,CANADA,N,unknown,651
605,653,Fishing for trout,"Panacea, Wakulla County",,1952,No injury to occupants. Shark chasing fish leapt into skiff & flopped out,1952.08.06,Unknown,,Watercraft,Florida,USA,N,hammerhead,653
606,654,"Spearfishing, speared a small shark",Port Louis,M,1952,Right foot lacerated by a larger shark. Lost several toes  PROVOKED INCIDENT,1952.04.00,Unknown,,Provoked,Port Louis Province,MAURITIUS,N,unknown,654
607,655,Fell overboard,In Los Angeles – Honolulu yacht race,M,1951,"Molested by shark that nibbled his bare feet,  rescued 30 hours later.",1951.08.00,Unknown,40,Unprovoked,,PACIFIC OCEAN,N,unknown,655
608,656,Fishing,Streaky Bay,,1950,No injury to occupants,1950.08.06,Unknown,,Watercraft,South Australia,AUSTRALIA,N,unknown,656
609,657,Bathing,300 yards west of mouth of the Chagres River,M,1950,Foot & hand severed,1950.00.00.h,Unknown,,Unprovoked,Canal Zone,PANAMA,N,unknown,657
610,659,Fishing,Coogee,,1947,"No injury to occupants, shark bumped & lifted dinghy",1947.07.00,Unknown,,Watercraft,New South Wales,AUSTRALIA,N,tiger,659
611,660,Swimming,"Kilindini Harbor, Mombasa",M,1947,Knee grazed,1947.06.27,Unknown,,Unprovoked,Coast Province,KENYA,N,unknown,660
612,661,Attempting to ride a shark,Cable Beach,M,1947,Arm bitten PROVOKED INCIDENT,1947.03.09,Unknown,,Provoked,New Providence Island,BAHAMAS,N,unknown,661
613,662,Treading water,"Country Club Beach, Durban",M,1947,Flexed left leg lacerated,1947.02.00,Unknown,18.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,662
614,663,Swimming,"Trinity Beach, Cairns",M,1946,FATAL,1946.06.28,Unknown,17.0,Unprovoked,Queensland,AUSTRALIA,Y,unknown,663
615,664,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,,M,1945,Laceration to arm,1946.00.00.a,Unknown,20,Sea Disaster,,OKINAWA,N,unknown,664
616,665,Diving,,M,1945,Hand severed,1945.03.06,Unknown,,Unprovoked,,JAMAICA,N,unknown,665
617,666,Fishing,Tewantin,,1944,No injury to occupants; shark bit dinghy leaving tooth fragments in  its woodwork,1944.10.25.a,Unknown,,Watercraft,Queensland,AUSTRALIA,N,unknown,666
618,667,Swimming,"Villa del Mar Beach, Veracruz",M,1943,"No injury, a shark made a threat display",1943.07.18,Midday,68.0,Invalid,Veracruz,MEXICO,U,unknown,667
619,668,Swimming,Bella Vista Beach,M,1942,"FATAL, body not recovered",1942.00.00.c,Unknown,,Unprovoked,Panama City,PANAMA,Y,unknown,668
620,669,SS Ethel Skakel foundered in Central America Hurricane of 1941,125 nm north of Aruba,M,1941,Leg lacerated FATAL,1941.11.24,Unknown,,Unprovoked,,CARIBBEAN SEA,Y,unknown,669
621,670,Standing on sandbank,"Stockton Beach, Newcastle",M,1940,"FATAL, injuries to lower back",1941.00.00.b,Morning,23.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,670
622,671,Spearfishing & had just speared a ulua,"Kane'ohe Bay, Mokapu, O'ahu",M,1939,Hand bitten,1939.11.02.R,Unknown,,Unprovoked,Hawaii,USA,N,unknown,671
623,673,,,M,1937,Survived,1937.02.02,Unknown,,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,673
624,675,,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",,1935,"Samoan missionary, Filemani, caught an 8'6 shark after it had killed 1 man & 2 boys in space of few weeks",1935.06.05.R,Unknown,,Unprovoked,Northern (Oro) Province,PAPUA NEW GUINEA,N,unknown,675
625,677,Swimming in hip-deep water,"Dee Why, north of Queenscliff",M,1934,"FATAL, leg & buttocks removed",1934.04.01.b,Unknown,17.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,677
626,678,Swimming,Ipswich,M,1932,Thigh bitten,1932.02.13,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,678
627,680,Diving for trochus from lugger,Barrier Reef near Innisfail,M,1931,Left foot acerated,1932.01.06,Unknown,45.0,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,680
628,681,Swimming,"Miramar, Havana",M,1931,"FATAL, rescuers saw shark trying to drag him under by the leg",1931.08.27,Unknown,,Unprovoked,Havana Province,CUBA,Y,unknown,681
629,682,,,,1930,"No inury to occupants, shark struck boat",1930.11.30,Unknown,,Watercraft,,AZORES,N,unknown,682
630,683,Standing,Tugela River Mouth,M,1928,"Tissue of right thigh removed to the bone, both thumbs & some fingers severed",1928.01.02,Morning,25.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,683
631,684,Walking,Off Cairns,M,1927,FATAL,1927.07.03,Unknown,,Unprovoked,Queensland,AUSTRALIA,Y,unknown,684
632,685,Floating on his back,Cottesloe Beach,M,1925,"FATAL, thigh  & torso bitten, then shark charged rescue boat",1926.00.00.b,Unknown,55.0,Unprovoked,Western Australia,AUSTRALIA,Y,tiger,685
633,686,Bathing in waist-deep water,Coogee,M,1925,"Left thigh bitten, leg surgically amputated",1925.06.15,Unknown,16.0,Unprovoked,New South Wales,AUSTRALIA,N,unknown,686
634,687,Diving for coins tossed from passenger ship,"Suva Harbor, Suva",M,1925,"Both arms bitten, surgically amputated",1925.01.27.R,Unknown,,Unprovoked,Viti Levu Island,FIJI,N,unknown,687
635,688,Fishing,Nahant,,1922,"No injury to occupants, shark splintered stern",1922.09.28,Unknown,,Watercraft,Massachusetts,USA,N,unknown,688
636,689,"Fishing, attempted to take a netted shark","Sewell’s Point, near Palm Beach",M,1916,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",1916.11.10,Unknown,,Provoked,Florida,USA,Y,unknown,689
637,690,Jumped overboard from Norwegian steamship Venator,,M,1916,Presumed FATAL,1916.07.01,Unknown,,Unprovoked,,ATLANTIC OCEAN,Y,unknown,690
638,692,Swimming,Takapuna,M,1912,Slight laceration to leg,1912.07.06.R,Unknown,,Unprovoked,North Island,NEW ZEALAND,N,unknown,692
639,693,Fishing,"Puente Mayorga, San Roque, Cádiz",M,1909,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,1909.06.26.b.R,Unknown,,Provoked,Andalucia,SPAIN,N,unknown,693
640,694,.,Matupi,.,1908,"Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed",1908.06.18,Unknown,,Sea Disaster,New Britain,PAPUA NEW GUINEA,Y,unknown,694
641,695,Bathing,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",M,1907,FATAL,1908.05.10,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,bull,695
642,696,Swimming,"Off Diamond Head, Honolulu, O'ahu",M,1904,"FATAL, disappeared, then shark caught with head and body of man, from waist down minus leg, in its gut",1904.00.00.c,Unknown,,Unprovoked,Hawaii,USA,Y,unknown,696
643,697,Diving,Coddington Cove,M,1900,No injury,1900.10.27,Unknown,,Unprovoked,Rhode Island,USA,U,unknown,697
644,698,Fishing,Jervis Bay,M,1895,FATAL,1895.12.09,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,698
645,699,Diving,,M,1895,Right hand severed,1895.08.02,Unknown,,Unprovoked,,,N,unknown,699
646,700,Fishing,"North Beach, St. Augustine",M,1894,Left leg bitten PROVOKED INCIDENT,1895.02.23.R,Unknown,,Provoked,Florida,USA,N,unknown,700
647,701,Bathing,Amherst,F,1894,FATAL,1894.06.15.a.R,Unknown,,Unprovoked,Rangoon,BURMA,Y,unknown,701
648,702,The steamships Thingvalla and Geiser collided,Off Sable Island,M,1888,FATAL,1888.12.00,Morning,,Sea Disaster,Nova Scotia,CANADA,Y,unknown,702
649,703,Bathing,"Tararu, Thames",M,1882,Lacerations to thigh,1882.12.03,Morning,,Unprovoked,North Island,NEW ZEALAND,N,unknown,703
650,704,Wreck of the Union Steamship Company 982-ton iron steamer Kafir,Olifantbos Point,M,1878,"FATAL, shark removed large part of his hip",1878.06.10,Unknown,,Sea Disaster,Western Cape Province,SOUTH AFRICA,Y,unknown,704
651,705,Fishing,,M,1876,FATAL,1877.01.04,Unknown,,Unprovoked,New York,USA,Y,unknown,705
652,706,Bathing,Mary River,M,1875,Forehead bitten,1875.08.10,Unknown,,Invalid,Queensland,AUSTRALIA,U,unknown,706
653,707,Boat of the Resolution capsized in the breakers,Mouth of the Ullua River,M,1874,FATAL,1874.06.15.b.R,Unknown,,Sea Disaster,,HONDURAS,Y,unknown,707
654,708,Bathing / standing,"Hoogly River, Calcutta",M,1870,"Right foot & leg bitten, surgically amputated",1870.07.27,Unknown,40.0,Unprovoked,West Bengal,INDIA,N,unknown,708
655,709,Fishing,Moreton Island,M,1870,bite to lower leg,1870.06.19,Unknown,13,Unprovoked,Queensland,AUSTRALIA,N,unknown,709
656,710,Bathing,Cleveland,M,1861,Lacerations to fingers,1861.03.00,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,710
